review_length,exclamation_count,verified_purchase,reviewer_review_count,rating_deviation,10,absolutely,amazing,arrived,avoid,awful,best,bought,box,broke,buy,buying,complete,condition,customer,damaged,described,disappointed,does,exactly,family,good,great,hate,high,highly,imaginable,incredible,item,life,love,loves,money,ordering,overpriced,perfect,picture,price,product,quality,quickly,recommend,ruined,says,scam,seen,seller,service,showed,single,solid,soon,stars,stopped,terrible,thing,unhelpful,use,value,waste,way,week,working,works,world,worst,wow,yes
13,0,1,2,1.255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4464169477713938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4901307535023757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5293787647864552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5293787647864552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0,5,2.76271186440678,0.0,0.0,0.0,0.0,0.0,0.47561520258669143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47561520258669143,0.0,0.0,0.0,0.0,0.0,0.4146202276476545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47561520258669143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3866013502701053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,1,3,1.2127659574468086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4464169477713938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4901307535023757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5293787647864552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5293787647864552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,1,2,0.3157894736842106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4464169477713938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4901307535023757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5293787647864552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5293787647864552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,3,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,0,1,1,0.2558139534883721,0.0,0.0,0.0,0.4381674556043063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4652996495043254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3981180595786933,0.0,0.0,0.0,0.0,0.4652996495043254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4652996495043254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,1,4,0.24324324324324342,0.0,0.0,0.0,0.4381674556043063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4652996495043254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3981180595786933,0.0,0.0,0.0,0.0,0.4652996495043254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4652996495043254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,1,3,1.5576923076923075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32356180158674835,0.0,0.5462928886455011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5462928886455011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5462928886455011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,1,1,2.549019607843137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,1,3,0.5490196078431371,0.0,0.0,0.0,0.4381674556043063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4652996495043254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3981180595786933,0.0,0.0,0.0,0.0,0.4652996495043254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4652996495043254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,6,0,2,2.8392857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11461735051628351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1938166098106726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8940966554236092,0.2235241638559023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2235241638559023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2235241638559023,0.0,0.0
